,GEO.id,GEO.id2,GEO.display-label,niceName,totalPeople,commuttersTakingTransit,meanTravelTimeTransit,medianIncome,blackPercentage,americanIndianPercentage,asianPercentage,nativePercentage,otherPercentage,twoOrMorePercentage,hispanicPercentage,whitePercentage,leaving1,leaving2,leaving3,leaving4,leaving5,leaving6,leaving7,leaving8,leaving9,leaving10
298,1400000US17031242400,17031242400,"Census Tract 2424, Cook County, Illinois","Census Tract 2424, Cook County, Illinois",2007,538,,50716.0,4.3,0.0,1.5,0.0,5.6,2.0,5.9,86.2,0.0,0.0,0.0,1.1,6.3,25.8,18.0,22.7,13.0,13.0
299,1400000US17031242500,17031242500,"Census Tract 2425, Cook County, Illinois","Census Tract 2425, Cook County, Illinois",2100,455,38.9,46756.0,15.2,0.0,1.8,0.0,1.5,1.5,6.8,74.7,0.0,0.0,0.0,2.0,0.0,20.9,9.9,33.8,13.8,19.6
300,1400000US17031242600,17031242600,"Census Tract 2426, Cook County, Illinois","Census Tract 2426, Cook County, Illinois",3539,967,41.9,40119.0,13.8,0.0,1.2,0.0,2.0,1.6,20.3,64.7,9.0,0.0,4.0,0.0,9.8,12.7,2.8,15.4,8.1,38.2
301,1400000US17031242700,17031242700,"Census Tract 2427, Cook County, Illinois","Census Tract 2427, Cook County, Illinois",900,357,,36333.0,19.9,0.0,7.8,0.0,5.6,10.9,32.2,34.7,1.1,2.8,0.0,3.6,4.2,27.2,10.9,17.6,7.3,25.2
302,1400000US17031242800,17031242800,"Census Tract 2428, Cook County, Illinois","Census Tract 2428, Cook County, Illinois",862,249,38.1,51979.0,0.0,1.6,1.6,0.0,0.0,5.2,24.9,68.3,0.0,0.0,0.0,6.8,4.4,12.4,5.2,32.5,11.2,27.3
303,1400000US17031242900,17031242900,"Census Tract 2429, Cook County, Illinois","Census Tract 2429, Cook County, Illinois",1129,314,,51960.0,15.0,0.0,0.0,0.0,8.6,0.0,21.0,64.0,7.3,0.0,0.3,1.3,7.3,18.8,8.3,23.2,8.9,24.5
304,1400000US17031243000,17031243000,"Census Tract 2430, Cook County, Illinois","Census Tract 2430, Cook County, Illinois",1614,402,,45088.0,1.7,0.0,5.2,0.0,11.4,0.0,20.6,72.4,6.7,0.0,4.5,6.5,0.0,12.9,9.0,15.4,9.5,35.6
305,1400000US17031243100,17031243100,"Census Tract 2431, Cook County, Illinois","Census Tract 2431, Cook County, Illinois",1388,465,,52622.0,9.0,0.0,3.2,0.0,4.9,1.5,35.7,61.1,6.5,0.0,0.0,6.5,1.5,14.4,5.6,21.1,25.2,19.4
306,1400000US17031243200,17031243200,"Census Tract 2432, Cook County, Illinois","Census Tract 2432, Cook County, Illinois",1583,360,,61215.0,8.9,0.0,4.2,0.0,11.7,2.2,20.8,63.9,0.0,0.0,2.8,0.0,9.2,3.6,24.2,17.8,18.1,24.4
307,1400000US17031243300,17031243300,"Census Tract 2433, Cook County, Illinois","Census Tract 2433, Cook County, Illinois",1641,711,,51205.0,2.4,0.0,10.3,0.0,17.3,1.7,31.8,54.7,0.0,0.0,3.8,3.2,6.3,6.6,16.7,25.3,15.6,22.4
