,GEO.id,GEO.id2,GEO.display-label,niceName,totalPeople,commuttersTakingTransit,meanTravelTimeTransit,medianIncome
1243,1400000US17031835200,17031835200,"Census Tract 8352, Cook County, Illinois","Census Tract 8352, Cook County, Illinois",788,158,,32253.0
1244,1400000US17031835500,17031835500,"Census Tract 8355, Cook County, Illinois","Census Tract 8355, Cook County, Illinois",404,170,49.5,23958.0
1245,1400000US17031835600,17031835600,"Census Tract 8356, Cook County, Illinois","Census Tract 8356, Cook County, Illinois",190,94,39.8,30556.0
1246,1400000US17031835700,17031835700,"Census Tract 8357, Cook County, Illinois","Census Tract 8357, Cook County, Illinois",15,0,,
1247,1400000US17031835800,17031835800,"Census Tract 8358, Cook County, Illinois","Census Tract 8358, Cook County, Illinois",663,150,,46250.0
1248,1400000US17031835900,17031835900,"Census Tract 8359, Cook County, Illinois","Census Tract 8359, Cook County, Illinois",1039,263,,35265.0
1249,1400000US17031836000,17031836000,"Census Tract 8360, Cook County, Illinois","Census Tract 8360, Cook County, Illinois",1109,325,61.4,47535.0
1250,1400000US17031836100,17031836100,"Census Tract 8361, Cook County, Illinois","Census Tract 8361, Cook County, Illinois",709,92,,27630.0
1251,1400000US17031836200,17031836200,"Census Tract 8362, Cook County, Illinois","Census Tract 8362, Cook County, Illinois",503,101,,6507.0
1252,1400000US17031836300,17031836300,"Census Tract 8363, Cook County, Illinois","Census Tract 8363, Cook County, Illinois",684,155,,45625.0
1253,1400000US17031836400,17031836400,"Census Tract 8364, Cook County, Illinois","Census Tract 8364, Cook County, Illinois",1401,342,,40409.0
1254,1400000US17031836500,17031836500,"Census Tract 8365, Cook County, Illinois","Census Tract 8365, Cook County, Illinois",535,233,,30066.0
1255,1400000US17031836600,17031836600,"Census Tract 8366, Cook County, Illinois","Census Tract 8366, Cook County, Illinois",1022,134,,30997.0
1256,1400000US17031836700,17031836700,"Census Tract 8367, Cook County, Illinois","Census Tract 8367, Cook County, Illinois",886,249,,26900.0
1257,1400000US17031836800,17031836800,"Census Tract 8368, Cook County, Illinois","Census Tract 8368, Cook County, Illinois",500,176,,21404.0
1258,1400000US17031836900,17031836900,"Census Tract 8369, Cook County, Illinois","Census Tract 8369, Cook County, Illinois",385,128,,28842.0
1259,1400000US17031837000,17031837000,"Census Tract 8370, Cook County, Illinois","Census Tract 8370, Cook County, Illinois",580,251,,36587.0
1260,1400000US17031837100,17031837100,"Census Tract 8371, Cook County, Illinois","Census Tract 8371, Cook County, Illinois",594,274,,35549.0
1261,1400000US17031837300,17031837300,"Census Tract 8373, Cook County, Illinois","Census Tract 8373, Cook County, Illinois",708,259,,36607.0
1262,1400000US17031837400,17031837400,"Census Tract 8374, Cook County, Illinois","Census Tract 8374, Cook County, Illinois",841,407,,23586.0
1263,1400000US17031837800,17031837800,"Census Tract 8378, Cook County, Illinois","Census Tract 8378, Cook County, Illinois",1281,505,,50124.0
1264,1400000US17031838000,17031838000,"Census Tract 8380, Cook County, Illinois","Census Tract 8380, Cook County, Illinois",1180,489,,30750.0
1265,1400000US17031838100,17031838100,"Census Tract 8381, Cook County, Illinois","Census Tract 8381, Cook County, Illinois",799,370,,53781.0
1266,1400000US17031838200,17031838200,"Census Tract 8382, Cook County, Illinois","Census Tract 8382, Cook County, Illinois",800,312,,14244.0
1267,1400000US17031838300,17031838300,"Census Tract 8383, Cook County, Illinois","Census Tract 8383, Cook County, Illinois",808,229,,40545.0
1268,1400000US17031838600,17031838600,"Census Tract 8386, Cook County, Illinois","Census Tract 8386, Cook County, Illinois",264,125,,23017.0
1269,1400000US17031838700,17031838700,"Census Tract 8387, Cook County, Illinois","Census Tract 8387, Cook County, Illinois",1261,520,,21181.0
1270,1400000US17031838800,17031838800,"Census Tract 8388, Cook County, Illinois","Census Tract 8388, Cook County, Illinois",904,187,,24404.0
1271,1400000US17031839000,17031839000,"Census Tract 8390, Cook County, Illinois","Census Tract 8390, Cook County, Illinois",5882,1681,32.1,64533.0
1272,1400000US17031839100,17031839100,"Census Tract 8391, Cook County, Illinois","Census Tract 8391, Cook County, Illinois",4170,1265,,62091.0
1273,1400000US17031839200,17031839200,"Census Tract 8392, Cook County, Illinois","Census Tract 8392, Cook County, Illinois",1097,294,,30743.0
1274,1400000US17031839500,17031839500,"Census Tract 8395, Cook County, Illinois","Census Tract 8395, Cook County, Illinois",517,39,,72067.0
1275,1400000US17031839600,17031839600,"Census Tract 8396, Cook County, Illinois","Census Tract 8396, Cook County, Illinois",611,158,,46146.0
1276,1400000US17031839700,17031839700,"Census Tract 8397, Cook County, Illinois","Census Tract 8397, Cook County, Illinois",2371,609,,36242.0
1277,1400000US17031839800,17031839800,"Census Tract 8398, Cook County, Illinois","Census Tract 8398, Cook County, Illinois",1415,400,35.5,36198.0
1278,1400000US17031839900,17031839900,"Census Tract 8399, Cook County, Illinois","Census Tract 8399, Cook County, Illinois",2219,352,38.1,46792.0
1279,1400000US17031840000,17031840000,"Census Tract 8400, Cook County, Illinois","Census Tract 8400, Cook County, Illinois",1458,282,31.8,43553.0
1280,1400000US17031840100,17031840100,"Census Tract 8401, Cook County, Illinois","Census Tract 8401, Cook County, Illinois",1484,335,37.9,23132.0
1281,1400000US17031840200,17031840200,"Census Tract 8402, Cook County, Illinois","Census Tract 8402, Cook County, Illinois",1165,235,,30768.0
1282,1400000US17031840300,17031840300,"Census Tract 8403, Cook County, Illinois","Census Tract 8403, Cook County, Illinois",1703,567,,30868.0
1283,1400000US17031840400,17031840400,"Census Tract 8404, Cook County, Illinois","Census Tract 8404, Cook County, Illinois",1285,334,,29583.0
1284,1400000US17031840700,17031840700,"Census Tract 8407, Cook County, Illinois","Census Tract 8407, Cook County, Illinois",1510,300,,20160.0
1285,1400000US17031840800,17031840800,"Census Tract 8408, Cook County, Illinois","Census Tract 8408, Cook County, Illinois",1127,156,,21216.0
1286,1400000US17031841000,17031841000,"Census Tract 8410, Cook County, Illinois","Census Tract 8410, Cook County, Illinois",503,163,,80268.0
1287,1400000US17031841100,17031841100,"Census Tract 8411, Cook County, Illinois","Census Tract 8411, Cook County, Illinois",3087,422,,24496.0
1288,1400000US17031841200,17031841200,"Census Tract 8412, Cook County, Illinois","Census Tract 8412, Cook County, Illinois",2476,773,,25828.0
1289,1400000US17031841300,17031841300,"Census Tract 8413, Cook County, Illinois","Census Tract 8413, Cook County, Illinois",2076,809,,31387.0
1290,1400000US17031841400,17031841400,"Census Tract 8414, Cook County, Illinois","Census Tract 8414, Cook County, Illinois",480,161,,27256.0
1291,1400000US17031841500,17031841500,"Census Tract 8415, Cook County, Illinois","Census Tract 8415, Cook County, Illinois",905,295,,18750.0
1292,1400000US17031841600,17031841600,"Census Tract 8416, Cook County, Illinois","Census Tract 8416, Cook County, Illinois",202,60,,24063.0
1293,1400000US17031841700,17031841700,"Census Tract 8417, Cook County, Illinois","Census Tract 8417, Cook County, Illinois",434,114,,26282.0
1294,1400000US17031841800,17031841800,"Census Tract 8418, Cook County, Illinois","Census Tract 8418, Cook County, Illinois",820,161,,31500.0
1295,1400000US17031841900,17031841900,"Census Tract 8419, Cook County, Illinois","Census Tract 8419, Cook County, Illinois",3421,752,34.2,54250.0
1296,1400000US17031842000,17031842000,"Census Tract 8420, Cook County, Illinois","Census Tract 8420, Cook County, Illinois",957,147,,7625.0
1297,1400000US17031842100,17031842100,"Census Tract 8421, Cook County, Illinois","Census Tract 8421, Cook County, Illinois",2565,549,,24684.0
1298,1400000US17031842200,17031842200,"Census Tract 8422, Cook County, Illinois","Census Tract 8422, Cook County, Illinois",2087,669,,73715.0
1299,1400000US17031842300,17031842300,"Census Tract 8423, Cook County, Illinois","Census Tract 8423, Cook County, Illinois",2224,730,,73043.0
1300,1400000US17031842400,17031842400,"Census Tract 8424, Cook County, Illinois","Census Tract 8424, Cook County, Illinois",1078,491,,35900.0
1301,1400000US17031842500,17031842500,"Census Tract 8425, Cook County, Illinois","Census Tract 8425, Cook County, Illinois",297,139,,26715.0
1302,1400000US17031842600,17031842600,"Census Tract 8426, Cook County, Illinois","Census Tract 8426, Cook County, Illinois",1999,427,,40563.0
1303,1400000US17031842800,17031842800,"Census Tract 8428, Cook County, Illinois","Census Tract 8428, Cook County, Illinois",2602,518,,20271.0
1304,1400000US17031842900,17031842900,"Census Tract 8429, Cook County, Illinois","Census Tract 8429, Cook County, Illinois",733,191,,24712.0
1305,1400000US17031843000,17031843000,"Census Tract 8430, Cook County, Illinois","Census Tract 8430, Cook County, Illinois",683,143,,20687.0
1306,1400000US17031843100,17031843100,"Census Tract 8431, Cook County, Illinois","Census Tract 8431, Cook County, Illinois",557,130,,21431.0
1307,1400000US17031843200,17031843200,"Census Tract 8432, Cook County, Illinois","Census Tract 8432, Cook County, Illinois",1060,293,,33500.0
1308,1400000US17031843300,17031843300,"Census Tract 8433, Cook County, Illinois","Census Tract 8433, Cook County, Illinois",757,203,,20707.0
